selection_ordinal,query_id,label_kind,ground_truth_siret,reliability,evidence_url,error_family
18,15981,MATCH_EXACT,32445680500070,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/324456805,TRANSFERRED_SEAT_ACTIVE_BRANCH
19,fresh:AC018843,MATCH_EXACT,77568873209823,HIGH,https://taxe-apprentissage.apf-francehandicap.org/structure/iem-rhone/,FACILITY_RENAMING_IEM_TO_DIEM
20,fresh:FR029062,MATCH_EXACT,90397886400036,MEDIUM,https://www.pappers.fr/entreprise/verbau-france-903978864,ADDRESS_NUMBER_VARIANT_CURRENT_SIRENE
21,9283,MATCH_EXACT,19690045000012,HIGH,https://www.education.gouv.fr/annuaire/69008/lyon/lycee/0690045z/lycee-professionnel-jean-lurcat.html,EXACT_PUBLIC_ESTABLISHMENT
22,10612,AMBIGUOUS,,HIGH,https://catalog.kingtony.eu/fr/content/2-mentions-legales,COLOCATED_BRAND_ENTITIES
23,9643,MATCH_EXACT,77564996500149,HIGH,https://www.reseaubesson.com/Lug?content=mentions,TRADE_NAME_LEGAL_NAME_VARIANT
24,11059,AMBIGUOUS,,HIGH,https://www.pappers.fr/entreprise/j3d-technique-piscines-433030319,COLOCATED_NETWORK_ENTITIES
25,fresh:FR017175,MATCH_EXACT,34420651100216,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/34420651100216,MULTI_SITE_NETWORK_EXACT_LOCATION
26,13945,MATCH_EXACT,38867050700036,HIGH,https://www.pappers.fr/entreprise/strategie-finance-patrimoine-388670507,EXACT_LEGAL_NAME_DESPITE_RELATED_COLOCATION
27,15363,MATCH_EXACT,82807079700034,HIGH,https://www.leboncoin.fr/boutique/336063/vtm_auto.htm,EXACT_NAME_ADDRESS
28,12122,MATCH_EXACT,49862097000018,HIGH,https://rukolinglin.com/mentions-legales/,SUCCESSOR_BY_MERGER
29,13516,MATCH_EXACT,33226488600026,HIGH,https://www.gueguenavocats.com/mentions-legales/,EXACT_NAME_ADDRESS
30,fresh:FR028144,MATCH_EXACT,48342969200039,HIGH,https://www.societe.com/societe/impact-centre-chretien-483429692.html,CURRENT_TRANSFERRED_SITE
31,10522,MATCH_EXACT,44513584100036,HIGH,https://www.edipack.fr/edipack-competences.html,EXACT_NAME_ADDRESS
32,4800,MATCH_EXACT,83357127600017,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/samfi-ingenierie-833571276,EXACT_NAME_ADDRESS
33,fresh:AC012478,MATCH_EXACT,83228542300022,HIGH,https://www.pappers.fr/entreprise/de-belval-832285423,LEGAL_FORM_PREFIX_VARIANT
34,11579,MATCH_EXACT,48256061200020,MEDIUM,https://www.mdcs-groupe.com/contact/,COLOCATION_DISAMBIGUATED_BY_LOCAL_SITE
35,11678,MATCH_EXACT,42013544400024,HIGH,https://www.stbenoitimmo.com/agences/saint-benoit-immobilier-aniane/39,EXACT_NAME_ADDRESS
36,15098,MATCH_EXACT,44898994700024,HIGH,https://api-avis-situation-sirene.insee.fr/identification/pdf/44898994700024,STREET_TYPE_VARIANT
37,fresh:FR031463,MATCH_EXACT,78518378100034,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/785183781,DEPARTMENT_NAME_VARIANT
38,11560,MATCH_EXACT,75184244400026,HIGH,https://www.societe.com/societe/jlv-promotion-751842444.html,EXACT_NAME_ADDRESS
39,fresh:FR018872,MATCH_EXACT,50827119400021,MEDIUM,https://annuaire-entreprises.data.gouv.fr/entreprise/lea-et-leo-grand-ouest-508271194,SUCCESSOR_BY_MERGER_COLOCATION
